x1,y1,x2,y2,Width,Length
61.657364,147.15606,61.657364,147.32143,0.2,0.165369999999996
59.247767,140.80134,60.216332,138.48623,0.2,2.50955224518738
60.216332,138.48623,61.633742,136.07664,0.2,2.79556346309649
61.633742,136.07664,62.555058,134.94271,0.2,1.46103402313429
62.555058,134.94271,65.578867,131.54092,0.2,4.55143890133451
65.578867,131.54092,68.602677,128.75335,0.2,4.11266013925293
68.602677,128.75335,70.657923,126.79259,0.2,2.84053091835241
70.657923,126.79259,72.689544,125.28069,0.2,2.5324544413752
72.689544,125.28069,75.359002,123.31994,0.2,3.3121815433735
75.359002,123.31994,78.689919,121.19382,0.2,3.95163185472647
78.689919,121.19382,80.674294,119.9654,0.2,2.33382943614674
80.674294,119.9654,83.131138,118.52437,0.2,2.84827138826974
83.131138,118.52437,85.587982,117.1542,0.2,2.81308518698528
85.587982,117.1542,87.147134,116.23289,0.2,1.81101272088409
87.147134,116.23289,90.548919,114.72098,0.2,3.72263522713749
90.596169,116.42187,93.430988,117.83928,0.2,3.16942421756082
93.430988,117.83928,100.63616,121.59542,0.2,8.12545944849792
100.63616,121.59542,106.09319,124.94996,0.2,6.40563150926589
106.09319,124.94996,110.93601,128.37537,0.2,5.93180741599894
110.93601,128.37537,114.26693,131.21019,0.2,4.37392643728722
114.26693,131.21019,117.24349,134.18675,0.2,4.20949152121727
117.24349,134.18675,120.69252,138.10826,0.2,5.22245618660416
120.69252,138.10826,122.29892,140.21075,0.2,2.64593748227352
122.79501,131.56455,122.53515,131.37556,0.2,0.321316728011471
122.53515,131.37556,119.03888,127.69029,0.2,5.07987390451771
119.03888,127.69029,114.97563,123.83966,0.2,5.59797748828985
114.97563,123.83966,112.70777,122.23326,0.2,2.77915633594081
112.70777,122.23326,110.46354,120.74498,0.2,2.69286940851205
110.46354,120.74498,107.88858,118.92597,0.2,3.15265227732144
107.88858,118.92597,104.7939,117.1542,0.2,3.56597998245924
104.7939,117.1542,97.120801,113.36347,0.2,8.55839250073873
97.120801,113.36347,90.265439,111.15383,0.2,7.20267291223501
90.005579,106.0039,86.485676,108.34263,0.2,4.22603539293142
86.485676,108.34263,83.154762,110.37425,0.2,3.90159812125698
83.154762,110.37425,80.154575,112.31138,0.2,3.57121753354076
80.154575,112.31138,77.390624,113.9414,0.2,3.20879889223383
77.390624,113.9414,74.981027,115.2407,0.2,2.73757889245388
74.981027,115.2407,72.193451,117.36681,0.2,3.50584136661601
72.193451,117.36681,68.531808,120.39062,0.2,4.74879525517251
68.531808,120.39062,66.40569,121.99702,0.2,2.66475115347081
66.40569,121.99702,63.783482,124.61923,0.2,3.70836353117706
63.783482,124.61923,62.389694,125.80041,0.2,1.8269732295094
63.688988,116.30375,64.633927,115.78404,0.2,1.0784285779879
64.633927,115.78404,66.641926,114.20126,0.2,2.55680513774534
66.641926,114.20126,68.744419,112.38225,0.2,2.78015722489736
68.744419,112.38225,72.736794,109.35844,0.2,5.00824171308903
72.736794,109.35844,76.303943,107.11421,0.2,4.21439441451569
76.303943,107.11421,80.910527,104.23214,0.2,5.43387004205621
80.910527,104.23214,84.005207,102.38951,0.2,3.6017120400304
84.005207,102.38951,89.53311,99.011345,0.2,6.47840337927748
89.981957,104.72823,94.470423,106.21651,0.2,4.72877408971459
94.470423,106.21651,95.155506,106.68899,0.2,0.832211552004064
95.155506,106.68899,96.903645,107.51581,0.2,1.93381004127111
96.903645,107.51581,99.951078,108.64974,0.2,3.25156041530663
99.951078,108.64974,102.40792,109.59468,0.2,2.63229637703735
102.40792,109.59468,104.65216,110.37425,0.2,2.37578251582506
104.65216,110.37425,107.58147,112.0279,0.2,3.36383938359132
107.58147,112.0279,110.3218,113.72879,0.2,3.22528065460977
110.3218,113.72879,114.57403,116.32738,0.2,4.9833853915787
114.57403,116.32738,118.68452,119.75279,0.2,5.35065993202708
118.68452,119.75279,120.88151,121.85528,0.2,3.04092572421623
120.88151,121.85528,122.88951,124.94996,0.2,3.68905249385258
122.41704,117.93378,122.39344,117.81566,0.2,0.120454532500862
122.39344,117.81566,121.42487,115.90216,0.2,2.14467015993136
121.42487,115.90216,119.91297,114.01227,0.2,2.42023259669396
119.91297,114.01227,118.14121,112.00428,0.2,2.67790166692133
118.14121,112.00428,115.44813,110.32701,0.2,3.17268254625324
115.44813,110.32701,112.87316,109.05134,0.2,2.87363958244592
112.87316,109.05134,106.40032,105.55506,0.2,7.35674054891159
106.40032,105.55506,102.07722,103.92504,0.2,4.62019034352482
102.07722,103.92504,99.573127,102.72024,0.2,2.77885314341168
99.573127,102.72024,96.998163,101.6808,0.2,2.77684625337738
96.998163,101.6808,93.950732,100.31064,0.2,3.341283305163
93.950732,100.31064,90.808804,98.751487,0.2,3.50751616312641
90.808804,98.751487,89.344145,98.042782,0.2,1.62711055657137
88.966145,93.412573,86.674665,94.640994,0.2,2.59998052755034
86.674665,94.640994,82.564173,96.767112,0.2,4.62779885388161
82.564173,96.767112,78.241072,99.082216,0.2,4.90396867720594
78.241072,99.082216,76.280319,100.33426,0.2,2.32640634991933
76.280319,100.33426,73.941592,102.10602,0.2,2.93407182565953
73.941592,102.10602,71.626488,103.7833,0.2,2.85884150124067
71.626488,103.7833,69.500371,105.43694,0.2,2.69349192448928
69.500371,105.43694,67.68136,106.83073,0.2,2.29160458679524
67.68136,106.83073,66.878162,107.18508,0.2,0.8778900555901
68.791666,100.73586,69.807478,99.436567,0.2,1.64925326108303
69.807478,99.436567,72.358815,97.074216,0.2,3.47707099938584
72.358815,97.074216,75.547992,94.499254,0.2,4.0989363545648
75.547992,94.499254,78.524554,93.034598,0.2,3.31739936368536
78.524554,93.034598,80.768787,91.758928,0.2,2.58145612149209
80.768787,91.758928,82.705915,90.837609,0.2,2.14506260704554
82.705915,90.837609,88.25744,88.404389,0.2,6.06135210939152
88.871651,92.491255,91.021391,93.60156,0.2,2.41953699302676
91.021391,93.60156,96.620162,95.680431,0.2,5.97226433985319
96.620162,95.680431,100.11644,96.956098,0.2,3.72173160614425
100.11644,96.956098,103.54185,98.279015,0.2,3.67199442496704
103.54185,98.279015,105.26637,99.105838,0.2,1.91248673295503
105.26637,99.105838,108.0067,100.68861,0.2,3.16458144355364
108.0067,100.68861,110.27455,101.70442,0.2,2.48495746011878
110.27455,101.70442,112.87314,102.93285,0.2,2.87431909380292
112.87314,102.93285,115.47172,104.94085,0.2,3.28400396108165
88.25744,88.404387,88.25744,88.404387,0.2,0
88.25744,88.404387,92.509672,89.420199,0.2,4.37188186038553
92.509672,89.420199,96.383929,90.152528,0.2,3.94286356171374
96.383929,90.152528,100.87239,91.64081,0.2,4.72876997326419
100.87239,91.64081,105.36086,93.223584,0.2,4.75936303258914
105.36086,93.223584,108.52641,94.711865,0.2,3.49795470774865
108.52641,94.711865,111.55022,97.145087,0.2,3.88123642894684
106.7074,89.916293,105.73884,89.018598,0.2,1.32059258919055
